NOT_VALID_EMAIL_SIZE,An email address should be at least {min} characters and no more than {max} characters.,"이메일은 {min}글자 이상, {max}글자 이하로 입력해주시기 바랍니다.",メールアドレスは{min}文字以上、{max}文字以下で入力してください。,電子信箱請輸入{min}至{max}個字。,,,,,,,,,,,,,,,
NOT_VALID_EMAIL_FORMAT,The format of the email address is invalid.,이메일 양식을 확인하여 주시기 바랍니다.,メールアドレスの形式が正しくありません。,無效的電子信箱。,,,,,,,,,,,,,,,
NOT_VALID_NICKNAME_NOT_EMPTY,Please enter your nickname.,닉네임을 입력해주시기 바랍니다.,ニックネームを入力してください。,請輸入暱稱。,,,,,,,,,,,,,,,
NOT_VALID_NICKNAME_SIZE,A nickname should be at least {min} characters and no more than {max} characters.,"닉네임은 {min}글자 이상, {max}글자 이하로 입력해주시기 바랍니다.",ニックネームは{min}文字以上、{max}文字以下で入力してください。,暱稱請輸入{min}至{max}個字。,,,,,,,,,,,,,,,
NOT_VALID_AGREED_TERMS,Please agree to the terms.,약관에 동의해주시기 바랍니다.,約款に同意してください。,請同意使用者合約書。,,,,,,,,,,,,,,,
NOT_VALID_AGREED_PRIVACY,Please agree to the privacy policy.,개인정보 수집 및 이용에 동의해주시기 바랍니다.,プライバシーポリシーに同意してください。,請同意隱私權政策。,,,,,,,,,,,,,,,
LOGIN_DESIGNER,,디자이너 로그인,,創造者登入,,,,,,,,,,,,,,,
JOIN_DESIGNER,,디자이너로 가입하기,,創造者註冊,,,,,,,,,,,,,,,
OAUTH_ERROR,Authentication failed. Please check your ID and password.,인증에 실패하였습니다. 아이디와 비밀번호를 확인해주시기 바랍니다.,認証に失敗しました。IDとパスワードをご確認ください。,驗證失敗，請確認帳號、密碼是否正確。,,,,,,,,,,,,,,,
LAYOUT_DESIGNER_MENU,,디자이너 메뉴,,創造者選單,,,,,,,,,,,,,,,
MANAGE_FAIRY_ORIGIN,,요정 원본 관리,,管理妖精,,,,,,,,,,,,,,,
MANAGE_SALES,,매출 관리,,銷售管理,,,,,,,,,,,,,,,
JOIN_MASTER,,소유주로 가입하기,,主人登入,,,,,,,,,,,,,,,
WALLET_ADDRESS,,지갑 주소,,錢包地址,,,,,,,,,,,,,,,
BUY_FAIRY,,요정 구매,,購買妖精,,,,,,,,,,,,,,,
TRADE_FAIRY,,요정 거래,,交易,,,,,,,,,,,,,,,
MANAGE_FAIRY,,요정 관리,,管理妖精,,,,,,,,,,,,,,,
LAYOUT_MASTER_MENU,,소유주 메뉴,,主人選單,,,,,,,,,,,,,,,
MASTER_INFO,,소유주 정보,,主人資訊,,,,,,,,,,,,,,,
DESIGNER_INFO,,디자이너 정보,,創造者資訊,,,,,,,,,,,,,,,
LAYOUT_RANKING_BUTTON,,요정 랭킹,,妖精排名,,,,,,,,,,,,,,,
RANKING_TITLE,,요정 랭킹,,,,,,,,,,,,,,,,,
LOGOUT,,로그아웃,,登出,,,,,,,,,,,,,,,
DESIGN_FAIRY,,요정 디자인하기,,創造妖精,,,,,,,,,,,,,,,
SAVE_DESIGN_FAIRY,,저장,,儲存,,,,,,,,,,,,,,,
FAIRY_ROOT_PERCENT,,요정의 능력치 상승을 위해 Fairy Root에 지급할 수익률 (최소 10% ~ 최대 90%),,Fairy Root的回報率（最少10%～最多90%），可以提高仙女的能力值,,,,,,,,,,,,,,,
FAIRY_ROOT_PERCENT_DESCRIPTION,,Fairy Root에 많은 수익률을 지급할수록 요정에 부여하는 능력치 포인트를 많이 지정할 수 있습니다.,,在Fairy Root中賺取越多錢，能獲得越多能力值分配給妖精。,,,,,,,,,,,,,,,
HP_POINT_PER_LEVEL,,레벨 당 HP 증가 포인트,,每次升級增加生命值,,,,,,,,,,,,,,,
ATTACK_POINT_PER_LEVEL,,레벨 당 공격 증가 포인트,,每次升級增加攻擊力,,,,,,,,,,,,,,,
DEFENCE_POINT_PER_LEVEL,,레벨 당 방어 증가 포인트,,每次升級增加防禦力,,,,,,,,,,,,,,,
AGILITY_POINT_PER_LEVEL,,레벨 당 민첩 증가 포인트,,每次升級增加敏捷,,,,,,,,,,,,,,,
DEXTERITY_POINT_PER_LEVEL,,레벨 당 재치 증가 포인트,,每次升級增加靈巧,,,,,,,,,,,,,,,
FIRE_POINT_PER_LEVEL,,레벨 당 불 속성 증가 포인트,,每次升級增加火屬性,,,,,,,,,,,,,,,
WATER_POINT_PER_LEVEL,,레벨 당 물 속성 증가 포인트,,每次升級增加水屬性,,,,,,,,,,,,,,,
WIND_POINT_PER_LEVEL,,레벨 당 바람 속성 증가 포인트,,每次升級增加風屬性,,,,,,,,,,,,,,,
EARTH_POINT_PER_LEVEL,,레벨 당 대지 속성 증가 포인트,,每次升級增加土屬性,,,,,,,,,,,,,,,
LIGHT_POINT_PER_LEVEL,,레벨 당 빛 속성 증가 포인트,,每次升級增加光屬性,,,,,,,,,,,,,,,
DARK_POINT_PER_LEVEL,,레벨 당 어둠 속성 증가 포인트,,每次升級增加暗屬性,,,,,,,,,,,,,,,
FAIRY_ORIGIN_NAME,,요정 원본 이름,,妖精初始名字,,,,,,,,,,,,,,,
FAIRY_ORIGIN_NAME_DESCRIPTION,,요정의 이름은 이 요정을 구매한 소유자가 요정의 이름을 짓습니다.\n디자이너는 요정의 이름이 아닌 요정 원본의 이름(예: 화염요정)을 짓습니다.,,妖精的名字由購買的主人命名。\n創造者創建的是妖精種類名稱，例如火之妖精。,,,,,,,,,,,,,,,
FAIRY_IMAGE_UPLOAD,,요정 이미지 업로드,,上傳妖精圖片,,,,,,,,,,,,,,,
FAIRY_INFO_FORM,,요정 정보 작성,,撰寫妖精資訊,,,,,,,,,,,,,,,
AVAILABLE_POINTS,,능력치 포인트,,能力值,,,,,,,,,,,,,,,
NOT_VALID_NAME_NOT_EMPTY,,이름을 입력해주시기 바랍니다.,,請輸入名字。,,,,,,,,,,,,,,,
NOT_VALID_NAME_SIZE,,"이름은 {min}글자 이상, {max}글자 이하로 입력해주시기 바랍니다.",,請輸入{mix}到{max}個字。,,,,,,,,,,,,,,,
NOT_VALID_IMAGE_FILE_ID_NOT_EMPTY,,이미지 파일을 업로드해주시기 바랍니다.,,請上傳圖片。,,,,,,,,,,,,,,,
BUY_FAIRY_BUTTON,,요정을 구매합니다.,,購買妖精,,,,,,,,,,,,,,,
PLEASE_ENTER_FAIRY_NAME,,요정 이름을 입력해주세요.,,請輸入妖精的名字。,,,,,,,,,,,,,,,
TOKEN_NAME,,토큰 이름,,代幣名稱。,,,,,,,,,,,,,,,
TOKEN_SYMBOL,,토큰 심볼,,代幣符號。,,,,,,,,,,,,,,,
BUYING_FAIRY,,요정을 구매하는 중입니다.,,購買妖精中。,,,,,,,,,,,,,,,
FAIRY_NAME,,요정 이름,,妖精名字,,,,,,,,,,,,,,,
BIRTHDAY,,출생일,,生日,,,,,,,,,,,,,,,
APPENDED_LEVEL,,소유주에 의해 추가된 레벨,,主人提升的等級,,,,,,,,,,,,,,,
START_TRADE_FAIRY,,요정 등록하기,,登錄妖精,,,,,,,,,,,,,,,
CUSTOM_LEVEL_UP,,임의 레벨업,,任意等級,,,,,,,,,,,,,,,
INCREASE_HP_POINT_PER_LEVEL,,레벨 당 HP 증가 포인트 올리기,,提高每次升級所增加的生命值,,,,,,,,,,,,,,,
INCREASE_ATTACK_POINT_PER_LEVEL,,레벨 당 공격 증가 포인트 올리기,,提高每次升級所增加的攻擊力,,,,,,,,,,,,,,,
INCREASE_DEFENCE_POINT_PER_LEVEL,,레벨 당 방어 증가 포인트 올리기,,提高每次升級所增加的防禦力,,,,,,,,,,,,,,,
INCREASE_AGILITY_POINT_PER_LEVEL,,레벨 당 민첩 증가 포인트 올리기,,提高每次升級所增加的敏捷,,,,,,,,,,,,,,,
INCREASE_DEXTERITY_POINT_PER_LEVEL,,레벨 당 재치 증가 포인트 올리기,,提高每次升級所增加的靈巧,,,,,,,,,,,,,,,
INCREASE_FIRE_POINT_PER_LEVEL,,레벨 당 불 속성 증가 포인트 올리기,,提高每次升級所增加的火屬性,,,,,,,,,,,,,,,
INCREASE_WATER_POINT_PER_LEVEL,,레벨 당 물 속성 증가 포인트 올리기,,提高每次升級所增加的水屬性,,,,,,,,,,,,,,,
INCREASE_WIND_POINT_PER_LEVEL,,레벨 당 바람 속성 증가 포인트 올리기,,提高每次升級所增加的風屬性,,,,,,,,,,,,,,,
INCREASE_EARTH_POINT_PER_LEVEL,,레벨 당 대지 속성 증가 포인트 올리기,,提高每次升級所增加的土屬性,,,,,,,,,,,,,,,
INCREASE_LIGHT_POINT_PER_LEVEL,,레벨 당 빛 속성 증가 포인트 올리기,,提高每次升級所增加的光屬性,,,,,,,,,,,,,,,
INCREASE_DARK_POINT_PER_LEVEL,,레벨 당 어둠 속성 증가 포인트 올리기,,提高每次升級所增加的暗屬性,,,,,,,,,,,,,,,
CHANGE_NAME,,이름 변경,,重新命名,,,,,,,,,,,,,,,
CHANGE_NAME_PROMPT,,변경할 이름을 입력해주세요.,,請輸入想變更的名字。,,,,,,,,,,,,,,,
TOTAL_FAIRY_COUNT,,총 요정 수,,妖精總數,,,,,,,,,,,,,,,
SELECT_TO_TRADE_FAIRY,,거래할 요정을 선택해주세요.,,請選擇要交易的妖精。,,,,,,,,,,,,,,,
ENTER_FAIRY_PRICE,,요정 가격을 입력해주세요.,,請輸入妖精的價格。,,,,,,,,,,,,,,,
CANCEL_TRADE,,거래 취소,,交易取消,,,,,,,,,,,,,,,
REALLY_CANCEL_PROMPT,,정말 거래를 취소하시겠습니까?,,確定要取消購買嗎？,,,,,,,,,,,,,,,
BUY_TRADE_FAIRY,,요정 구매,,購買妖精,,,,,,,,,,,,,,,
REALLY_BUY_TRADE_FAIRY_PROMPT,,요정을 구매하시겠습니까?,,確定要購買妖精嗎？,,,,,,,,,,,,,,,
BGM_TITLE,,배경 음악,,背景音樂,,,,,,,,,,,,,,,
RUNNING_PROCESS_TITLE,,실행중인 내용,,運作中的內容,,,,,,,,,,,,,,,
HOME_TITLE,,요정을 구매하고 성장시켜 전투를 벌이세요!,,培育妖精 戰鬥吧！,,,,,,,,,,,,,,,
TERMS,,이용약관,,使用者合約書,,,,,,,,,,,,,,,
PRIVACY,,개인정보취급방침,,隱私權條款,,,,,,,,,,,,,,,
FAIRY_ORIGIN_NOT_FOUND,,요정 원본을 찾을 수 없습니다.,,,,,,,,,,,,,,,,,
FAIRY_ORIGIN_LIST,,요정 원본 목록,,,,,,,,,,,,,,,,,
,,경험치는 1초에 1씩 오릅니다.,,,,,,,,,,,,,,,,,
DESIGNER_HOME,,디자이너 홈,,,,,,,,,,,,,,,,,
MASTER_HOME,,소유주 홈,,,,,,,,,,,,,,,,,
DESIGN_FAIRY_FAIRY_NAME_DESCRIPTION,,요정의 이름은 소유자가 짓습니다.,,,,,,,,,,,,,,,,,
PLEASE_FILE_UPLOAD,,파일을 업로드해주시기 바랍니다.,,,,,,,,,,,,,,,,,
PLEASE_ENTER_FAIRY_ORIGIN_NAME,,요정의 종류를 입력하세요.,,,,,,,,,,,,,,,,,
REMAIN_LEVEL_POINT,,남은 속성 포인트,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
